"GEO_ID","NAME","B19301_001E","B19301_001M",
"Geography","Geographic Area Name","Estimate!!Per capita income in the past 12 months (in 2022 inflation-adjusted dollars)","Margin of Error!!Per capita income in the past 12 months (in 2022 inflation-adjusted dollars)",
"1400000US37011930400","Census Tract 9304; Avery County; North Carolina","24781","5233",
"1400000US37013930101","Census Tract 9301.01; Beaufort County; North Carolina","30594","4665",
"1400000US37013930102","Census Tract 9301.02; Beaufort County; North Carolina","25474","6870",
"1400000US37013930200","Census Tract 9302; Beaufort County; North Carolina","27372","4912",
"1400000US37013930300","Census Tract 9303; Beaufort County; North Carolina","23852","3884",
"1400000US37013930400","Census Tract 9304; Beaufort County; North Carolina","38835","10578",
"1400000US37013930501","Census Tract 9305.01; Beaufort County; North Carolina","38660","7741",
"1400000US37013930502","Census Tract 9305.02; Beaufort County; North Carolina","34693","4812",
"1400000US37013930600","Census Tract 9306; Beaufort County; North Carolina","42219","5886",
"1400000US37013930700","Census Tract 9307; Beaufort County; North Carolina","38291","5399",
"1400000US37013930800","Census Tract 9308; Beaufort County; North Carolina","24773","4536",
"1400000US37013930900","Census Tract 9309; Beaufort County; North Carolina","44174","7079",
"1400000US37013931001","Census Tract 9310.01; Beaufort County; North Carolina","23435","3244",
"1400000US37013931002","Census Tract 9310.02; Beaufort County; North Carolina","29726","6659",
"1400000US37015960100","Census Tract 9601; Bertie County; North Carolina","34303","6827",
"1400000US37015960200","Census Tract 9602; Bertie County; North Carolina","24183","3659",
"1400000US37015960300","Census Tract 9603; Bertie County; North Carolina","19595","2967",
"1400000US37015960401","Census Tract 9604.01; Bertie County; North Carolina","35953","11950",
"1400000US37015960402","Census Tract 9604.02; Bertie County; North Carolina","24254","10311",
"1400000US37017950101","Census Tract 9501.01; Bladen County; North Carolina","33395","8582",
"1400000US37017950102","Census Tract 9501.02; Bladen County; North Carolina","27655","5371",
"1400000US37017950200","Census Tract 9502; Bladen County; North Carolina","24732","4892",
"1400000US37017950301","Census Tract 9503.01; Bladen County; North Carolina","18424","5567",
"1400000US37017950302","Census Tract 9503.02; Bladen County; North Carolina","42814","16761",
"1400000US37017950401","Census Tract 9504.01; Bladen County; North Carolina","20689","5903",
"1400000US37017950402","Census Tract 9504.02; Bladen County; North Carolina","21828","5205",
"1400000US37017950501","Census Tract 9505.01; Bladen County; North Carolina","34617","11610",
"1400000US37017950502","Census Tract 9505.02; Bladen County; North Carolina","23756","3308",
"1400000US37017950601","Census Tract 9506.01; Bladen County; North Carolina","19073","4120",
"1400000US37017950602","Census Tract 9506.02; Bladen County; North Carolina","25222","5214",
"1400000US37019020101","Census Tract 201.01; Brunswick County; North Carolina","24000","6668",
"1400000US37019020102","Census Tract 201.02; Brunswick County; North Carolina","42768","5253",
"1400000US37019020105","Census Tract 201.05; Brunswick County; North Carolina","47903","5184",
"1400000US37019020106","Census Tract 201.06; Brunswick County; North Carolina","32271","5080",
"1400000US37019020107","Census Tract 201.07; Brunswick County; North Carolina","37683","14417",
"1400000US37019020108","Census Tract 201.08; Brunswick County; North Carolina","26541","3503",
"1400000US37019020201","Census Tract 202.01; Brunswick County; North Carolina","33022","4229",
"1400000US37019020203","Census Tract 202.03; Brunswick County; North Carolina","42849","11962",
"1400000US37019020204","Census Tract 202.04; Brunswick County; North Carolina","32930","5391",
"1400000US37019020205","Census Tract 202.05; Brunswick County; North Carolina","53570","7241",
"1400000US37019020206","Census Tract 202.06; Brunswick County; North Carolina","33002","8122",
"1400000US37019020304","Census Tract 203.04; Brunswick County; North Carolina","71796","13866",
"1400000US37019020305","Census Tract 203.05; Brunswick County; North Carolina","43887","7972",
"1400000US37019020306","Census Tract 203.06; Brunswick County; North Carolina","42633","6598",
"1400000US37019020307","Census Tract 203.07; Brunswick County; North Carolina","125487","49168",
"1400000US37019020308","Census Tract 203.08; Brunswick County; North Carolina","52043","11215",
"1400000US37019020311","Census Tract 203.11; Brunswick County; North Carolina","39718","4613",
"1400000US37019020312","Census Tract 203.12; Brunswick County; North Carolina","43140","6811",
"1400000US37019020313","Census Tract 203.13; Brunswick County; North Carolina","61973","16323",
"1400000US37019020314","Census Tract 203.14; Brunswick County; North Carolina","90149","20972",
"1400000US37019020315","Census Tract 203.15; Brunswick County; North Carolina","54495","13088",
"1400000US37019020316","Census Tract 203.16; Brunswick County; North Carolina","67763","9287",
"1400000US37019020404","Census Tract 204.04; Brunswick County; North Carolina","28080","4586",
"1400000US37019020405","Census Tract 204.05; Brunswick County; North Carolina","28691","3181",
"1400000US37019020406","Census Tract 204.06; Brunswick County; North Carolina","68093","8978",
"1400000US37019020407","Census Tract 204.07; Brunswick County; North Carolina","45070","10392",
"1400000US37019020408","Census Tract 204.08; Brunswick County; North Carolina","23341","5589",
"1400000US37019020409","Census Tract 204.09; Brunswick County; North Carolina","36790","7821",
"1400000US37019020504","Census Tract 205.04; Brunswick County; North Carolina","49504","6043",
"1400000US37019020505","Census Tract 205.05; Brunswick County; North Carolina","28873","4223",
"1400000US37019020508","Census Tract 205.08; Brunswick County; North Carolina","59639","8238",
"1400000US37019020510","Census Tract 205.10; Brunswick County; North Carolina","37558","5809",
"1400000US37019020511","Census Tract 205.11; Brunswick County; North Carolina","43969","5668",
"1400000US37019020512","Census Tract 205.12; Brunswick County; North Carolina","68275","7875",
"1400000US37019020513","Census Tract 205.13; Brunswick County; North Carolina","34142","6432",
"1400000US37019020514","Census Tract 205.14; Brunswick County; North Carolina","45597","9546",
"1400000US37019020515","Census Tract 205.15; Brunswick County; North Carolina","36596","3783",
"1400000US37019020516","Census Tract 205.16; Brunswick County; North Carolina","42716","5976",
"1400000US37019020517","Census Tract 205.17; Brunswick County; North Carolina","43680","10227",
"1400000US37019020518","Census Tract 205.18; Brunswick County; North Carolina","47706","5680",
"1400000US37019020601","Census Tract 206.01; Brunswick County; North Carolina","26611","3546",
"1400000US37019020602","Census Tract 206.02; Brunswick County; North Carolina","27384","3762",
"1400000US37019020603","Census Tract 206.03; Brunswick County; North Carolina","29950","7052",
"1400000US37019990100","Census Tract 9901; Brunswick County; North Carolina","-","**",
"1400000US37021000100","Census Tract 1; Buncombe County; North Carolina","28679","5913",
"1400000US37021000200","Census Tract 2; Buncombe County; North Carolina","44320","10469",
"1400000US37021000300","Census Tract 3; Buncombe County; North Carolina","36090","4450",
"1400000US37021000400","Census Tract 4; Buncombe County; North Carolina","26891","5487",
"1400000US37021000500","Census Tract 5; Buncombe County; North Carolina","80291","12435",
"1400000US37021000600","Census Tract 6; Buncombe County; North Carolina","48007","10143",
"1400000US37021000700","Census Tract 7; Buncombe County; North Carolina","43633","8158",
"1400000US37021000800","Census Tract 8; Buncombe County; North Carolina","39117","6112",
"1400000US37021000900","Census Tract 9; Buncombe County; North Carolina","30583","9425",
"1400000US37021001000","Census Tract 10; Buncombe County; North Carolina","42970","7513",
"1400000US37021001100","Census Tract 11; Buncombe County; North Carolina","43510","6523",
"1400000US37021001200","Census Tract 12; Buncombe County; North Carolina","38313","5345",
"1400000US37021001300","Census Tract 13; Buncombe County; North Carolina","23524","3628",
"1400000US37021001401","Census Tract 14.01; Buncombe County; North Carolina","21651","3792",
"1400000US37021001402","Census Tract 14.02; Buncombe County; North Carolina","47650","41658",
"1400000US37021001500","Census Tract 15; Buncombe County; North Carolina","33904","5494",
"1400000US37021001601","Census Tract 16.01; Buncombe County; North Carolina","53399","8664",
"1400000US37021001602","Census Tract 16.02; Buncombe County; North Carolina","51297","12880",
"1400000US37021001700","Census Tract 17; Buncombe County; North Carolina","72085","14499",
"1400000US37021001801","Census Tract 18.01; Buncombe County; North Carolina","35879","4848",
"1400000US37021001802","Census Tract 18.02; Buncombe County; North Carolina","58045","18825",
"1400000US37021001900","Census Tract 19; Buncombe County; North Carolina","30815","3925",
"1400000US37021002000","Census Tract 20; Buncombe County; North Carolina","31926","5467",
"1400000US37021002101","Census Tract 21.01; Buncombe County; North Carolina","115045","31001",
"1400000US37021002102","Census Tract 21.02; Buncombe County; North Carolina","29007","6224",
"1400000US37021002203","Census Tract 22.03; Buncombe County; North Carolina","24211","3785",
"1400000US37021002204","Census Tract 22.04; Buncombe County; North Carolina","53860","8568",
"1400000US37021002205","Census Tract 22.05; Buncombe County; North Carolina","43340","8051",
"1400000US37021002206","Census Tract 22.06; Buncombe County; North Carolina","50695","8443",
"1400000US37021002303","Census Tract 23.03; Buncombe County; North Carolina","50931","9693",
"1400000US37021002304","Census Tract 23.04; Buncombe County; North Carolina","90726","41557",
"1400000US37021002305","Census Tract 23.05; Buncombe County; North Carolina","60180","15240",
"1400000US37021002306","Census Tract 23.06; Buncombe County; North Carolina","36900","4191",
"1400000US37021002401","Census Tract 24.01; Buncombe County; North Carolina","29352","6763",
"1400000US37021002402","Census Tract 24.02; Buncombe County; North Carolina","32786","7674",
"1400000US37021002503","Census Tract 25.03; Buncombe County; North Carolina","27122","5089",
"1400000US37021002504","Census Tract 25.04; Buncombe County; North Carolina","31223","4700",
"1400000US37021002505","Census Tract 25.05; Buncombe County; North Carolina","36225","4053",
"1400000US37021002506","Census Tract 25.06; Buncombe County; North Carolina","21525","3577",
"1400000US37021002603","Census Tract 26.03; Buncombe County; North Carolina","25768","3649",
"1400000US37021002604","Census Tract 26.04; Buncombe County; North Carolina","31149","4555",
"1400000US37021002606","Census Tract 26.06; Buncombe County; North Carolina","28073","5021",
"1400000US37021002607","Census Tract 26.07; Buncombe County; North Carolina","40079","9307",
"1400000US37021002608","Census Tract 26.08; Buncombe County; North Carolina","37460","5846",
"1400000US37021002609","Census Tract 26.09; Buncombe County; North Carolina","21465","7716",
"1400000US37021002701","Census Tract 27.01; Buncombe County; North Carolina","37461","4843",
"1400000US37021002702","Census Tract 27.02; Buncombe County; North Carolina","39854","6306",
"1400000US37021002704","Census Tract 27.04; Buncombe County; North Carolina","36715","7046",
"1400000US37021002705","Census Tract 27.05; Buncombe County; North Carolina","44355","9401",
"1400000US37021002803","Census Tract 28.03; Buncombe County; North Carolina","27545","4809",
"1400000US37021002804","Census Tract 28.04; Buncombe County; North Carolina","34370","5191",
"1400000US37021002900","Census Tract 29; Buncombe County; North Carolina","33684","4852",
"1400000US37021003002","Census Tract 30.02; Buncombe County; North Carolina","27945","3011",
"1400000US37021003003","Census Tract 30.03; Buncombe County; North Carolina","34025","5620",
"1400000US37021003004","Census Tract 30.04; Buncombe County; North Carolina","35151","8549",
"1400000US37021003103","Census Tract 31.03; Buncombe County; North Carolina","39738","7757",
"1400000US37021003105","Census Tract 31.05; Buncombe County; North Carolina","41576","10381",
"1400000US37021003106","Census Tract 31.06; Buncombe County; North Carolina","31302","4346",
"1400000US37021003107","Census Tract 31.07; Buncombe County; North Carolina","41565","7223",
"1400000US37021003108","Census Tract 31.08; Buncombe County; North Carolina","40321","14431",
"1400000US37021003201","Census Tract 32.01; Buncombe County; North Carolina","47468","8955",
"1400000US37021003202","Census Tract 32.02; Buncombe County; North Carolina","61432","7674",
"1400000US37021003203","Census Tract 32.03; Buncombe County; North Carolina","41354","8846",
"1400000US37021003204","Census Tract 32.04; Buncombe County; North Carolina","43958","9641",
"1400000US37021003205","Census Tract 32.05; Buncombe County; North Carolina","34185","7061",
"1400000US37023020100","Census Tract 201; Burke County; North Carolina","22381","4871",
"1400000US37023020202","Census Tract 202.02; Burke County; North Carolina","33582","6989",
"1400000US37023020203","Census Tract 202.03; Burke County; North Carolina","42491","8409",
"1400000US37023020204","Census Tract 202.04; Burke County; North Carolina","37235","6668",
"1400000US37023020301","Census Tract 203.01; Burke County; North Carolina","26586","3433",
"1400000US37023020303","Census Tract 203.03; Burke County; North Carolina","34856","4449",
"1400000US37023020304","Census Tract 203.04; Burke County; North Carolina","30101","5051",
"1400000US37023020500","Census Tract 205; Burke County; North Carolina","37476","7646",
"1400000US37023020600","Census Tract 206; Burke County; North Carolina","21657","3442",
"1400000US37023020801","Census Tract 208.01; Burke County; North Carolina","29126","2813",
"1400000US37023020802","Census Tract 208.02; Burke County; North Carolina","33126","4562",
"1400000US37023020901","Census Tract 209.01; Burke County; North Carolina","41339","7461",
"1400000US37023020902","Census Tract 209.02; Burke County; North Carolina","34271","11209",
"1400000US37023021000","Census Tract 210; Burke County; North Carolina","30784","4639",
"1400000US37023021100","Census Tract 211; Burke County; North Carolina","32661","4990",
"1400000US37023021201","Census Tract 212.01; Burke County; North Carolina","39294","9579",
"1400000US37023021202","Census Tract 212.02; Burke County; North Carolina","31074","3946",
"1400000US37023021203","Census Tract 212.03; Burke County; North Carolina","26800","5473",
"1400000US37023021301","Census Tract 213.01; Burke County; North Carolina","19470","2551",
"1400000US37023021302","Census Tract 213.02; Burke County; North Carolina","36602","11067",
"1400000US37023021400","Census Tract 214; Burke County; North Carolina","24238","3873",
"1400000US37025040501","Census Tract 405.01; Cabarrus County; North Carolina","28231","5529",
"1400000US37025040502","Census Tract 405.02; Cabarrus County; North Carolina","32066","7164",
"1400000US37025040600","Census Tract 406; Cabarrus County; North Carolina","42611","7735",
"1400000US37025040701","Census Tract 407.01; Cabarrus County; North Carolina","21808","3937",
"1400000US37025040703","Census Tract 407.03; Cabarrus County; North Carolina","16125","3052",
"1400000US37025040704","Census Tract 407.04; Cabarrus County; North Carolina","25831","4423",
"1400000US37025040705","Census Tract 407.05; Cabarrus County; North Carolina","27922","3513",
"1400000US37025040800","Census Tract 408; Cabarrus County; North Carolina","26721","6968",
